Sputter Time,C1,Ta2,Si2,Al2,Ni1,O1
0,37.0961,31.1946,0,0.8816,0.3148,30.5128
0.1,26.1544,36.1369,1.1392,1.2369,0.3807,34.9519
0.2,19.1063,40.593,0.6249,1.659,0.2575,37.7592
0.3,16.3016,43.3391,0,1.6726,0.4135,38.2732
0.4,15.5686,44.8803,0,1.7827,0.8441,36.9242
0.5,15.0453,46.1528,0,2.5456,0.9094,35.3468
0.6,13.9503,47.4654,0,3.2753,0.654,34.655
0.7,13.73,48.8258,0,3.6437,0.3669,33.4336
0.8,15.1086,49.5749,0,3.8586,0.1829,31.275
0.9,16.2921,49.4613,0,4.2033,0.1695,29.8737
1,16.3899,49.1459,0,4.855,0.2753,29.334
1.1,15.9417,49.1453,0,5.6582,0.2412,29.0138
1.2,15.5969,48.8076,0.1131,6.5654,0.1252,28.7917
1.3,15.4651,48.1631,0.2263,7.3648,0.3075,28.4732
1.4,15.4161,47.0295,0.114,8.2254,0.5108,28.7042
1.5,15.7221,44.7837,0,9.6017,0.3461,29.5464
1.6,16.245,42.5324,0,10.8664,0.2561,30.1001
1.7,16.8871,40.5515,0,11.5984,0.4614,30.5016
1.8,16.58,39.1556,0,12.2712,0.5855,31.4077
1.9,15.2502,38.6666,0,12.9786,0.5836,32.521
2,15.3031,37.7091,0,13.2018,0.6481,33.138
2.1,16.1683,35.9847,0.3362,13.1346,0.8043,33.5719
2.2,15.6591,34.5591,0.6728,13.823,1.0275,34.2585
2.3,14.8966,33.4308,0.3376,14.989,1.3545,34.9915
2.4,14.7394,32.3639,0,15.808,1.6503,35.4384
2.5,14.5975,31.3616,0,16.4427,1.8255,35.7727
2.6,14.8902,29.9502,0.1752,16.8337,1.8688,36.2819
2.7,15.2544,28.968,0.3699,16.6736,1.9102,36.8239
2.8,15.4582,28.6001,0.2293,16.6855,2.269,36.7578
2.9,15.7382,27.5742,0.0547,17.5899,2.6689,36.3741
3,15.607,25.975,0.0187,18.6622,3.1199,36.6172
3.1,15.0958,25.1748,0.0911,18.9767,3.8027,36.859
3.2,14.514,25.0475,0.2653,19.1131,4.1591,36.9009
3.3,13.9823,24.4097,0.6965,19.3578,4.3339,37.2198
3.4,14.2173,23.4504,0.9655,19.1666,4.6995,37.5006
3.5,14.33,22.5966,0.4473,19.1573,5.4494,38.0195
3.6,13.5854,22.072,0,19.3287,6.3655,38.6484
3.7,13.6039,21.7251,0.4671,19.1819,6.8447,38.1773
3.8,14.0646,21.1209,0.9208,19.5108,7.1925,37.1904
3.9,14.1649,20.2289,0.4642,20.0513,7.8272,37.2635
